rowname model jaccard
NT5001 NT5001 0
NT5001 NT5002 0.1431159420289855
NT5001 NT5003 0.18641114982578397
NT5001 NT5004 0.1838487972508591
NT5001 NT5005 0.36605657237936773
NT5001 NT5006 0.3712374581939799
NT5001 NT5007 0.5429553264604811
NT5001 NT5008 0.37152209492635024
NT5001 NT5009 0.3474714518760196
NT5001 NT5011 0.3519736842105263
NT5001 NT5013 0.38487394957983195
NT5001 NT5014 0.3096539162112933
NT5001 NT5019 0.2345679012345679
NT5001 NT5020 0.2859744990892532
NT5001 NT5021 0.3247863247863248
NT5001 NT5022 0.4461805555555555
NT5001 NT5023 0.39379084967320266
NT5001 NT5024 0.35702479338842974
NT5001 NT5025 0.46488294314381273
NT5001 NT5026 0.3449319213313162
NT5001 NT5032 0.4267515923566879
NT5001 NT5037 0.35725429017160687
NT5001 NT5038 0.45771144278606957
NT5001 NT5040 0.41116751269035534
NT5001 NT5042 0.4462540716612378
NT5001 NT5044 0.4348591549295775
NT5001 NT5045 0.4307432432432433
NT5001 NT5046 0.3639398998330551
NT5001 NT5048 0.3685950413223141
NT5001 NT5049 0.12099644128113878
NT5001 NT5051 0.10841121495327104
NT5001 NT5052 0.13172541743970315
NT5001 NT5068 0.39840000000000003
NT5001 NT5072 0.4779050736497545
NT5001 NT5074 0.16579406631762653
NT5001 NT5075 0.37688442211055273
NT5001 NT5076 0.3526570048309179
NT5001 NT5077 0.3804347826086956
NT5001 YK0001 0.3636363636363636
NT5001 YK0002 0.39805825242718446
NT5002 NT5001 0.1431159420289855
NT5002 NT5002 0
NT5002 NT5003 0.21501706484641636
NT5002 NT5004 0.20910623946037102
NT5002 NT5005 0.3685950413223141
NT5002 NT5006 0.362876254180602
NT5002 NT5007 0.53184165232358
NT5002 NT5008 0.3870967741935484
NT5002 NT5009 0.35275080906148865
NT5002 NT5011 0.324459234608985
NT5002 NT5013 0.3873121869782971
NT5002 NT5014 0.30978260869565216
NT5002 NT5019 0.274442538593482
NT5002 NT5020 0.3046594982078853
NT5002 NT5021 0.33895446880269814
NT5002 NT5022 0.4098939929328622
NT5002 NT5023 0.375
NT5002 NT5024 0.3649754500818331
NT5002 NT5025 0.4590984974958264
NT5002 NT5026 0.3448795180722891
NT5002 NT5032 0.4213036565977742
NT5002 NT5037 0.33647798742138363
NT5002 NT5038 0.45198675496688745
NT5002 NT5040 0.3807890222984563
NT5002 NT5042 0.45571658615136873
NT5002 NT5044 0.41207815275310833
NT5002 NT5045 0.4196277495769882
NT5002 NT5046 0.38788870703764317
NT5002 NT5048 0.36303630363036304
NT5002 NT5049 0.18632478632478633
NT5002 NT5051 0.14416058394160586
NT5002 NT5052 0.13284132841328414
NT5002 NT5068 0.4031746031746032
NT5002 NT5072 0.4672131147540984
NT5002 NT5074 0.21621621621621626
NT5002 NT5075 0.3602693602693603
NT5002 NT5076 0.3365695792880259
NT5002 NT5077 0.3736413043478261
NT5002 YK0001 0.3739967897271268
