taxonomy	id
A. muciniphila	NT5021
A. putredinis	NT5014
B. adolescentis	NT5022
B. animalis subsp. lactis BI-07	NT5044
B. clarus	NT5052
B. crossotus	NT5013
B. dorei	NT5049
B. eggerthii	NT5051
B. fragilis	NT5003
B. hansenii	NT5005
B. longum subsp. infantis	NT5023
B. thetaiotaomicron	NT5004
B. uniformis	NT5002
B. vulgatus	NT5001
C. bolteae	NT5026
C. comes	NT5048
C. perfringens	NT5032
C. ramosum	NT5006
C. saccharolyticum	NT5037
D. formicigenerans	NT5076
E. coli IAI1	NT5077
E. eligens	NT5075
E. lenta	NT5024
E. limosum	NT5068
E. rectale	NT5009
E. siraeum	NT5040
F. nucleatum subsp. nucleatum	NT5025
L. gasseri	NT5007
L. lactis	YK0001
L. paracasei	NT5042
L. plantarum	YK0002
P. capillosus	NT5008
P. copri	NT5019
P. distasonis	NT5074
P. melaninogenica	NT5020
R. bromii	NT5045
R. gnavus	NT5046
R. intestinalis	NT5011
S. parasanguinis	NT5072
S. salivarius	NT5038
